2025-11-23 21:03:25 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-11-23 21:03:25 - [33mPress CTRL+C to quit[0m
2025-11-23 21:03:44 - 127.0.0.1 - - [23/Nov/2025 21:03:44] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:44 - 127.0.0.1 - - [23/Nov/2025 21:03:44] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:44 - 127.0.0.1 - - [23/Nov/2025 21:03:44] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:44 - 127.0.0.1 - - [23/Nov/2025 21:03:44] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:45 - 127.0.0.1 - - [23/Nov/2025 21:03:45] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:45 - 127.0.0.1 - - [23/Nov/2025 21:03:45] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:45 - 127.0.0.1 - - [23/Nov/2025 21:03:45] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:45 - 127.0.0.1 - - [23/Nov/2025 21:03:45] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:46 - 127.0.0.1 - - [23/Nov/2025 21:03:46] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:46 - 127.0.0.1 - - [23/Nov/2025 21:03:46] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:46 - 127.0.0.1 - - [23/Nov/2025 21:03:46] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:46 - 127.0.0.1 - - [23/Nov/2025 21:03:46] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:47 - 127.0.0.1 - - [23/Nov/2025 21:03:47] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:47 - 127.0.0.1 - - [23/Nov/2025 21:03:47] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:47 - 127.0.0.1 - - [23/Nov/2025 21:03:47] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:47 - 127.0.0.1 - - [23/Nov/2025 21:03:47] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:48 - 127.0.0.1 - - [23/Nov/2025 21:03:48] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:48 - 127.0.0.1 - - [23/Nov/2025 21:03:48] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:48 - 127.0.0.1 - - [23/Nov/2025 21:03:48] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:48 - 127.0.0.1 - - [23/Nov/2025 21:03:48] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:49 - 127.0.0.1 - - [23/Nov/2025 21:03:49] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:49 - 127.0.0.1 - - [23/Nov/2025 21:03:49] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:49 - 127.0.0.1 - - [23/Nov/2025 21:03:49] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:49 - 127.0.0.1 - - [23/Nov/2025 21:03:49] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:50 - 127.0.0.1 - - [23/Nov/2025 21:03:50] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:50 - 127.0.0.1 - - [23/Nov/2025 21:03:50] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:50 - 127.0.0.1 - - [23/Nov/2025 21:03:50] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:50 - 127.0.0.1 - - [23/Nov/2025 21:03:50] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:51 - 127.0.0.1 - - [23/Nov/2025 21:03:51] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:51 - 127.0.0.1 - - [23/Nov/2025 21:03:51] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:51 - 127.0.0.1 - - [23/Nov/2025 21:03:51] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:51 - 127.0.0.1 - - [23/Nov/2025 21:03:51] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:52 - 127.0.0.1 - - [23/Nov/2025 21:03:52] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:52 - 127.0.0.1 - - [23/Nov/2025 21:03:52] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:52 - 127.0.0.1 - - [23/Nov/2025 21:03:52] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:52 - 127.0.0.1 - - [23/Nov/2025 21:03:52] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:53 - 127.0.0.1 - - [23/Nov/2025 21:03:53] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:53 - 127.0.0.1 - - [23/Nov/2025 21:03:53] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:53 - 127.0.0.1 - - [23/Nov/2025 21:03:53] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:53 - 127.0.0.1 - - [23/Nov/2025 21:03:53] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:54 - 127.0.0.1 - - [23/Nov/2025 21:03:54] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:54 - 127.0.0.1 - - [23/Nov/2025 21:03:54] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:55 - 127.0.0.1 - - [23/Nov/2025 21:03:55] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:55 - 127.0.0.1 - - [23/Nov/2025 21:03:55] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:56 - 127.0.0.1 - - [23/Nov/2025 21:03:56] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:56 - 127.0.0.1 - - [23/Nov/2025 21:03:56] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:57 - 127.0.0.1 - - [23/Nov/2025 21:03:57] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:57 - 127.0.0.1 - - [23/Nov/2025 21:03:57] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:58 - 127.0.0.1 - - [23/Nov/2025 21:03:58] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:58 - 127.0.0.1 - - [23/Nov/2025 21:03:58] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:59 - 127.0.0.1 - - [23/Nov/2025 21:03:59] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:59 - 127.0.0.1 - - [23/Nov/2025 21:03:59] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:00 - 127.0.0.1 - - [23/Nov/2025 21:04:00] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:00 - 127.0.0.1 - - [23/Nov/2025 21:04:00] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:01 - 127.0.0.1 - - [23/Nov/2025 21:04:01] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:01 - 127.0.0.1 - - [23/Nov/2025 21:04:01] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:02 - 127.0.0.1 - - [23/Nov/2025 21:04:02] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:02 - 127.0.0.1 - - [23/Nov/2025 21:04:02] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:03 - 127.0.0.1 - - [23/Nov/2025 21:04:03] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:03 - 127.0.0.1 - - [23/Nov/2025 21:04:03] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:04 - 127.0.0.1 - - [23/Nov/2025 21:04:04] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:04 - 127.0.0.1 - - [23/Nov/2025 21:04:04] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:05 - 127.0.0.1 - - [23/Nov/2025 21:04:05] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:05 - 127.0.0.1 - - [23/Nov/2025 21:04:05] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:06 - 127.0.0.1 - - [23/Nov/2025 21:04:06] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:06 - 127.0.0.1 - - [23/Nov/2025 21:04:06] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:07 - 127.0.0.1 - - [23/Nov/2025 21:04:07] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:07 - 127.0.0.1 - - [23/Nov/2025 21:04:07] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:08 - 127.0.0.1 - - [23/Nov/2025 21:04:08] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:08 - 127.0.0.1 - - [23/Nov/2025 21:04:08] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:09 - 127.0.0.1 - - [23/Nov/2025 21:04:09] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:09 - 127.0.0.1 - - [23/Nov/2025 21:04:09] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:10 - 127.0.0.1 - - [23/Nov/2025 21:04:10] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:10 - 127.0.0.1 - - [23/Nov/2025 21:04:10] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:11 - 127.0.0.1 - - [23/Nov/2025 21:04:11] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:11 - 127.0.0.1 - - [23/Nov/2025 21:04:11] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:12 - 127.0.0.1 - - [23/Nov/2025 21:04:12] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:12 - 127.0.0.1 - - [23/Nov/2025 21:04:12] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:13 - 127.0.0.1 - - [23/Nov/2025 21:04:13] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:13 - 127.0.0.1 - - [23/Nov/2025 21:04:13] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:14 - 127.0.0.1 - - [23/Nov/2025 21:04:14] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:14 - 127.0.0.1 - - [23/Nov/2025 21:04:14] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:15 - 127.0.0.1 - - [23/Nov/2025 21:04:15] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:15 - 127.0.0.1 - - [23/Nov/2025 21:04:15] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:16 - 127.0.0.1 - - [23/Nov/2025 21:04:16] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:16 - 127.0.0.1 - - [23/Nov/2025 21:04:16] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:17 - 127.0.0.1 - - [23/Nov/2025 21:04:17] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:17 - 127.0.0.1 - - [23/Nov/2025 21:04:17] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:19 - 127.0.0.1 - - [23/Nov/2025 21:04:19] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:19 - 127.0.0.1 - - [23/Nov/2025 21:04:19] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:19 - 127.0.0.1 - - [23/Nov/2025 21:04:19] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:19 - 127.0.0.1 - - [23/Nov/2025 21:04:19] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:20 - 127.0.0.1 - - [23/Nov/2025 21:04:20] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:20 - 127.0.0.1 - - [23/Nov/2025 21:04:20] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:22 - 127.0.0.1 - - [23/Nov/2025 21:04:22] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:04:22 - 127.0.0.1 - - [23/Nov/2025 21:04:22] "GET /api/state HTTP/1.1" 200 -
